cod_uf|fet30|escolaridade|salario|n
50|1|Outros|1606.783726844502|66885
52|1|Médio|1534.425185178891|291718
53|1|Superior|5013.744359909201|58976
51|0|Superior|6416.836860889533|129336
51|1|Outros|1701.766293017277|92056
50|1|Médio|1578.34592898543|111977
50|1|Superior|3387.503407385855|24127
53|0|Superior|10384.61874197908|348245
52|0|Médio|2357.492608490298|455225
53|0|Outros|3974.476495416503|167455
53|1|Médio|2084.891452453458|186753
50|0|Médio|2216.942337927142|190763
51|0|Outros|2516.079489340464|171582
52|0|Superior|5597.121600541947|244111
51|0|Médio|2415.070225333273|257574
50|0|Outros|2294.976629841685|149174
52|0|Outros|2186.345241655799|304524
53|0|Médio|3433.807329219363|323572
53|1|Outros|1827.82055760186|153407
50|0|Superior|5942.322759514879|111487
52|1|Outros|1552.595785425541|131572
52|1|Superior|2897.447331465564|57110
51|1|Médio|1693.361614817258|173258
51|1|Superior|3494.224580897214|33011
31|0|Outros|2050.717670243989|1108292
31|1|Médio|1460.25327947766|896222
31|1|Superior|3006.372716943487|165285
31|1|Outros|1479.38159754987|404870
33|0|Médio|2587.769481966071|1257910
32|1|Outros|1398.417824321385|74124
32|0|Outros|2070.507674073371|187263
33|1|Médio|1556.858929687069|583306
32|0|Médio|2191.55229394647|287025
33|0|Superior|7183.930291023724|735505
33|0|Outros|2772.578235622888|826354
33|1|Outros|1803.554619724275|250292
33|1|Superior|3753.207481569569|113670
32|1|Médio|1498.466109735342|155465
32|1|Superior|2686.049503645865|31268
31|0|Superior|5536.333777581915|755118
31|0|Médio|2202.122930097381|1485087
32|0|Superior|5326.938539068943|156633
23|0|Médio|1908.533579392643|495408
23|0|Outros|1863.748645502109|263869
28|1|Superior|2636.788082575219|10003
27|1|Outros|1312.637085718841|37378
24|0|Outros|2128.143924447209|105383
25|0|Superior|4287.001409789864|122536
21|1|Superior|2830.34872800824|21258
22|0|Superior|4736.421616044781|95610
22|1|Superior|2325.576038024554|16989
28|0|Médio|1951.038897606057|123513
22|0|Médio|1835.958453591644|135223
25|0|Outros|2297.89942842798|162954
26|1|Médio|1303.256822892849|263699
21|1|Outros|1508.780848019045|30188
24|1|Superior|2623.020166080006|20171
28|0|Outros|2166.63916344623|78405
21|0|Superior|4536.699215460933|166123
29|1|Médio|1321.321469668565|380249
24|0|Médio|1952.019376101997|201908
22|1|Médio|1238.854968350528|65404
27|1|Médio|1252.105354661196|75988
24|1|Médio|1261.617927200283|97940
29|1|Outros|1427.597869874021|117148
26|1|Outros|1431.683424497086|85414
27|0|Médio|1810.678281392675|143593
21|0|Outros|2068.66136547297|105187
25|0|Médio|1607.34541985509|180741
25|1|Superior|2309.235176304584|21979
28|1|Médio|1257.920982307696|59574
23|1|Outros|1389.245858078934|87288
26|0|Outros|2030.922126216043|287412
23|1|Superior|2574.971899477372|51093
26|0|Médio|1824.222475741637|535589
27|1|Superior|2463.351762509902|12590
22|0|Outros|2172.863646262667|98542
28|0|Superior|5882.751171337862|69681
21|0|Médio|2004.084111717893|286508
29|0|Outros|2251.199685916973|368183
26|1|Superior|2838.391377340662|52870
25|1|Médio|1211.431452344212|96148
26|0|Superior|5203.619440549994|300295
29|0|Médio|2012.120227715652|904726
23|0|Superior|5104.381850115842|257773
23|1|Médio|1295.162809631468|286066
24|1|Outros|1362.597266376786|34500
22|1|Outros|1333.213412037212|24607
28|1|Outros|1312.5512287965|24878
29|0|Superior|5515.686262662004|355689
25|1|Outros|1494.835771137524|44778
27|0|Superior|4647.065077714508|83768
21|1|Médio|1440.25915574067|134769
24|0|Superior|5403.657582301114|108322
27|0|Outros|2094.163166440756|128226
29|1|Superior|2872.44951467333|50193
12|1|Outros|1423.724270306707|5934
13|0|Outros|2605.737179335178|77581
16|1|Superior|3792.13956931576|6153
11|0|Médio|2396.874478243199|120123
16|0|Superior|6442.332658054466|45285
17|0|Médio|2260.828994706104|88591
12|0|Superior|5582.024349316865|35578
13|1|Superior|3371.208192176375|19045
11|1|Superior|3330.675872275445|11791
11|1|Outros|1568.108711521973|29205
16|0|Médio|2549.803263417587|37283
15|0|Outros|2075.238753690719|221510
17|0|Superior|6110.238238303979|59210
16|0|Outros|2832.61853904287|13895
14|1|Médio|1441.526543145618|19214
11|0|Outros|2216.346056394116|57772
13|0|Superior|5713.403239645498|116806
12|1|Médio|1384.282081598648|24020
12|1|Superior|3250.031248030257|6346
11|0|Superior|5528.807217099743|54878
17|0|Outros|2206.654297624889|41260
14|1|Superior|3337.15832259499|4501
13|1|Outros|1634.027055595542|29157
15|1|Médio|1508.922822698873|189085
16|1|Médio|1360.021327737049|16916
17|1|Médio|1472.175467787532|51626
13|1|Médio|1533.042276270187|118290
15|1|Superior|3234.749322760345|30329
13|0|Médio|2365.309622539773|231309
14|1|Outros|1582.128359008703|5972
14|0|Superior|6214.241004109334|24091
15|0|Médio|2271.827580963718|377576
16|1|Outros|1354.348832317674|5087
15|0|Superior|6119.602759016978|185374
17|1|Superior|3299.53276417656|9558
12|0|Outros|2505.856378031991|18882
14|0|Médio|2406.017491980788|31487
15|1|Outros|1419.092383914537|77163
14|0|Outros|2890.504024840923|16505
12|0|Médio|2073.503514765574|42091
11|1|Médio|1550.918245720834|68997
17|1|Outros|1534.586895495486|16650
35|0|Superior|7055.436828034164|2489530
35|1|Médio|1677.214436359224|2561269
35|0|Outros|2643.06795980963|2350997
35|1|Outros|1843.342460564518|862993
35|1|Superior|3922.371655685059|589466
35|0|Médio|2465.748562681834|4396100
41|0|Médio|2287.657313155626|932514
42|1|Outros|1700.724978033667|280884
41|1|Superior|2998.566946696768|130855
43|0|Médio|2424.75700040171|808505
43|0|Outros|2524.308524864425|657987
42|1|Médio|1734.096256815472|464201
41|0|Outros|2390.005907190663|620994
42|0|Médio|2271.210569495847|654421
41|1|Outros|1643.255933328297|289448
43|1|Médio|1690.483754695469|447770
42|0|Outros|2302.652429671495|485827
43|0|Superior|6042.645376583098|482204
42|0|Superior|5628.947964332668|371883
42|1|Superior|3149.891376007669|103466
43|1|Superior|3356.076496122451|98000
41|1|Médio|1638.811770179309|581314
43|1|Outros|1659.979383832275|326502
41|0|Superior|5720.635811538373|531004
